UNIT_NAME,Portfolio,Location,Fuel,MW,MMBTU,$/MMBTU,$/MWh,$/MWh,MC,Co2_tons/MWh,O&M/Day
MORRO BAY 1&2,Bay Views,North,Gas,335,8.51,4.50,38.28,0.50,38.78,0.45,"$2,000"
MORRO BAY 3&4,Bay Views,North,Gas,665,8.02,4.50,36.11,0.50,36.61,0.43,"$4,000"
MOSS LANDING 6,Bay Views,North,Gas,750,6.90,4.50,31.06,1.50,32.56,0.37,"$8,000"
MOSS LANDING 7,Bay Views,North,Gas,750,6.90,4.50,31.06,1.50,32.56,0.37,"$8,000"
OAKLAND,Bay Views,North,Gas,150,13.48,4.50,60.67,0.50,61.17,0.72,$0
PITTSBURGH 1-4,East Bay,North,Gas,650,8.99,4.50,40.44,0.50,40.94,0.48,"$2,500"
PITTSBURGH 5&6,East Bay,North,Gas,650,8.02,4.50,36.11,0.50,36.61,0.43,"$2,500"
PITTSBURGH 7,East Bay,North,Gas,700,13.16,4.50,59.22,0.50,59.72,0.70,"$4,000"
CONTRA COSTA 4&5,East Bay,North,Gas,150,12.84,4.50,57.78,0.50,58.28,0.68,"$1,000"
CONTRA COSTA 6&7,East Bay,North,Gas,700,8.67,4.50,39.00,0.50,39.50,0.46,"$6,000"
POTRERO HILL,East Bay,North,Gas,150,15.41,4.50,69.33,0.50,69.83,0.82,$0
HUMBOLDT,Fossil Light,North,Gas,150,10.43,4.50,46.94,0.50,47.44,0.55,$0
HELMS,Fossil Light,North,Hydro,800,0.00,0.00,0.00,0.50,0.50,0.00,"$15,000"
HUNTERS POINT 1&2,Fossil Light,North,Gas,150,10.59,4.50,47.67,1.50,49.17,0.56,"$1,000"
HUNTERS POINT 4,Fossil Light,North,Gas,250,16.53,4.50,74.39,1.50,75.89,0.88,"$1,000"
DIABLO CANYON 1,Fossil Light,North,Nuclear,1000,1.00,7.50,7.50,4.00,11.50,0.00,"$20,000"
